# A1 - 023 - die Substantive


|das Glas|des Glases&emsp;die Gläser|стакан

|die Bäckerei|der Bäckerei&emsp;die Bäckereien|пекарня

|der Kaffee|des Kaffees&emsp;die Kaffees|кофе

|die Tür|der Tür&emsp;die Türen|дверь

|die Möglichkeit|der Möglichkeit&emsp;die Möglichkeiten|возможность

|die Familie|der Familie&emsp;die Familien|семья

|der Himmel|des Himmels&emsp;die Himmel|небо

|das Magazin|des Magazins&emsp;die Magazine|журнал

|die Reise|der Reise&emsp;die Reisen|путешествие

|die Luft|der Luft&emsp;die Lüfte|воздух
