# 33 - IELTS Words

|mere|mɪə|простой, незамысловатый
|obscurity|əbˈskjʊərɪtɪ|неясность
|spoof|spu:f|обман
|denial|dɪˈnaɪl|отрицание
|carve|kɑ:v|резать
|enticing|ɪnˈtaɪsɪŋ|заманчивый
|sandbox|ˈsæn(d)bɒks|песочница
|intercept|ˌɪntəˈsept|перехватывать
|integrate|ˈɪntɪɡreɪt|внедрять
|impend|ɪmˈpend|нависать, надвигаться
|sophisticated|səˈfɪstɪkeɪtɪd|умный
|grasp|ɡrɑ:sp|понимание
|fraction|ˈfrækʃn|доля
|legislation|leʤɪsˈleɪʃn|законодательство
|complementary|kɒmplɪˈmentrɪ|дополнительный
|limitless|ˈlɪmɪtləs|безграничный
|akin|əˈkɪn|родственный
|cope|kəʊp|преодолевать
|tailored|ˈteɪləd|приспособленный
|alleviate|əˈli:vɪeɪt|облегчать
|recuperate|rɪˈku:pəreɪt|выздоравливать
|comprise|kəmˈpraɪz|включать, составлять
|extent|ɪkˈstent|степень
|circumvent|sɜ:kəmˈvent|обходить
|slack|slæk|резерв
