# 35 - IELTS Words

|orderly|ˈɔ:dlɪ|нормально
|liaison|lɪˈeɪzn|связь
|sequence|ˈsi:kwns|последовательность
|latitude|ˈlætɪtju:d|широта
|longitude|ˈlɒŋɡɪtju:d|долгота
|session|ˈseʃn|сеанс
|boundary|ˈbæʊndrɪ|граница
|proprietary|prəˈpraɪətrɪ|личный
|interface|ˈɪntəfeɪs|связывать
|forth|fɔ:θ|далее
|pertain|pəˈteɪn|принадлежать, относиться
|contend|kənˈtend|соперничать
|intricacy|ˈɪntrɪkəsɪ|сложность
|discard|dɪˈskɑ:d|отвергать
|handle|ˈhændl|рукоять, обрабатывть
|pinpoint|ˈpɪnpɔɪnt|опеределять
|assumption|əˈsʌmpʃn|предположение
|encapsulate|ɪnˈkæpsjʊleɪt|изолировать
|clarity|ˈklærɪtɪ|ясность
|obscure|əbˈskjʊə|затемнять
|supplant|səˈplɑ:nt|вытеснять
|attain|əˈteɪn|достигать
|retain|rɪˈteɪn|удерживать
|assist|əˈsɪst|помогать
|acquire|əˈkwaɪə|приобретать
