# C1 - 108 - die Substantive


|die Transparenz|der Transparenz&emsp;die Transparenzen|прозрачность

|die Vermittlung|der Vermittlung&emsp;die Vermittlungen|посредничество

|die Einhaltung|der Einhaltung&emsp;die Einhaltungen|соблюдение

|die Produktivität|der Produktivität&emsp;die Produktivitäten|продуктивность

|die Eigeninitiative|der Eigeninitiative&emsp;die Eigeninitiativen|собственная инициатива

|die Beurteilung|der Beurteilung&emsp;die Beurteilungen|оценка

|die Führungskraft|der Führungskraft&emsp;die Führungskräfte|руководитель

|die Bestrebung|der Bestrebung&emsp;die Bestrebungen|стремление

|die Verwirklichung|der Verwirklichung&emsp;die Verwirklichungen|осуществление

|die Ausgangslage|der Ausgangslage&emsp;die Ausgangslagen|исходное положение
