# A1 - 007 - die Substantive


|der Wind|des Windes&emsp;die Winde|ветер

|die Polizei|der Polizei&emsp;die Polizeien|полиция

|der Herbst|des Herbstes&emsp;die Herbste|осень

|das Wetter|des Wetters&emsp;die Wetter|погода

|der Reis|des Reises&emsp;die Reise|рис

|der Fernseher|des Fernsehers&emsp;die Fernseher|телевизор

|das Fest|des Festes&emsp;die Feste|праздник

|der Lehrer|des Lehrers&emsp;die Lehrer|учитель

|der Student|des Studenten&emsp;die Studenten|студент

|der Fußball|des Fußballs&emsp;die Fußbälle|футбол
