# 30 - IELTS Words

|miserable|ˈmɪzrəbl|жалкий, несчастный
|provided|prəˈvaɪdɪd|при условии
|providing|prəˈvaɪdɪŋ|если
|stare|steə|пристально глядеть
|glance|ɡlɑ:ns|взглянуть мельком
|fine|faɪn|штраф, пеня
|fare|feə|стоимость проезда
|eyesight|ˈaɪsaɪt|зрение
|hyphen|ˈhaɪfn|дефис
|assessment|əˈsesmənt|оценка
|likelihood|ˈlaɪklɪhʊd|вероятность
|rigorous|ˈrɪɡrəs|строгий
|conduct|ˈkɒndʌkt|проводить
|straightforward|streɪtˈfɔ:wəd|простой
|occurrence|əˈkʌrns|случай
|derive|dɪˈraɪv|получать
|probability|prɒbəˈbɪlɪtɪ|возможность
|mitigation|mɪtɪˈɡeɪʃn|уменьшение
|stakeholder|ˈsteɪkhəʊldə|участник совместного дела
|conscious|ˈkɒnʃəs|сознательный
|widget|ˈwɪʤɪt|предмет
|strive|straɪv|стремиться
|impact|ˈɪmpækt|влияние
|counsel|ˈkæʊnsl|совещание
|procurement|prəˈkjʊəmənt|поставка
