# 26 - IELTS Words

|miserly|ˈmaɪzəlɪ|скупой
|obstinate|ˈɒbstɪnət|упрямый
|timid|ˈtɪmɪd|робкий; застенчивый
|coy|kɔɪ|стеснительный
|retiring|rɪˈtaɪərɪŋ|скромный
|bashful|ˈbæʃfʊl|робкий
|docile|ˈdəʊsaɪl|послушный
|submissive|səbˈmɪsɪv|покорный
|timorous|ˈtɪmrəs|очень боязливый
|daring|ˈdeərɪŋ|бесстрашный
|plucky|ˈplʌkɪ|смелый, отважный
|spiteful|ˈspaɪtfʊl|злобный, злой
|gloat|ɡləʊt|тайно злорадствовать, торжествовать
|timid|ˈtɪmɪd|робкий; застенчивый
|dull|dʌl|тупой, глупый
|mean|mi:n|скупой, противный
|smug|smʌɡ|самодовольный, зубрила
|clench|klenʧ|стискивание (о зубах, челюстях)
|fist|fɪst|кулак
|sigh|saɪ|вздох
|adorn|əˈdɔ:n|украшать
|catsuit|ˈkætsu:t|узкий женский комбинезон
|cape|keɪp|плащ с капюшоном
|current|ˈkʌrnt|струя; поток
|genuine|ˈʤenjʊɪn|истинный, подлинный,
