# 32 - IELTS Words

|fluctuate|ˈflʌkʧʊeɪt|колебаться
|predominance|prɪˈdɒmɪnəns|преобладание
|explicit|ɪkˈsplɪsɪt|явный
|allocation|æləˈkeɪʃn|распределение
|instantaneous|ˌɪnstnˈteɪnɪəs|немедленный
|align|əˈlaɪn|выравнивать
|glance|ɡlɑ:ns|взгляд
|preservation|prezəˈveɪʃn|сохранение
|tough|tʌf|жёсткий
|dismiss|dɪsˈmɪs|распускать
|segregate|ˈseɡrɪɡeɪt|отделять
|sag|sæɡ|снижение
|spike|spaɪk|пронзать
|surge|sɜ:ʤ|повышение
|blackout|ˈblækæʊt|затемнение
|pertinent|ˈpɜ:tɪnənt|соотвествующий
|whereas|weərˈæz|поскольку
|amazing|əˈmeɪzɪŋ|изумительный
|straightforward|streɪtˈfɔ:wəd|простой
|circuit|ˈsɜ:kɪt|цепь
|revert|rɪˈvɜ:t|возвращать
|latent|ˈleɪtnt|скрытый, латентный,
|consistent|kənˈsɪstnt|последовательный
|entity|ˈentɪtɪ|сущность
|decipher|dɪˈsaɪfə|расшифровывать
