# C1 - 100 - die Substantive


|die Erweiterung|der Erweiterung&emsp;die Erweiterungen|расширение

|die Ausstattung|der Ausstattung&emsp;die Ausstattungen|оборудование

|die Feststellung|der Feststellung&emsp;die Feststellungen|констатация

|die Identifikation|der Identifikation&emsp;die Identifikationen|идентификация

|die Logik|der Logik&emsp;die Logiken|логика

|die Einschätzung|der Einschätzung&emsp;die Einschätzungen|оценка

|die Entfaltung|der Entfaltung&emsp;die Entfaltungen|развитие

|die Ausführung|der Ausführung&emsp;die Ausführungen|выполнение

|die Annahme|der Annahme&emsp;die Annahmen|принятие

|die Strukturierung|der Strukturierung&emsp;die Strukturierungen|структурирование
