# A1 - 027 - die Substantive


|die Datei|der Datei&emsp;die Dateien|файл

|der Stern|des Sternes&emsp;die Sterne|звезда

|die Freundin|der Freundin&emsp;die Freundinnen|подруга

|der Hallenschuh|des Hallenschuhes&emsp;die Hallenschuhe|кроссовок

|die Marmelade|der Marmelade&emsp;die Marmeladen|варенье

|die Farbe|der Farbe&emsp;die Farben|цвет

|das Sachbuch|des Sachbuches&emsp;die Sachbücher|научная книга

|die Note|der Note&emsp;die Noten|оценка

|das Rad|des Rades&emsp;die Räder|колесо

|die Tasche|der Tasche&emsp;die Taschen|сумка
