# A1 - 005 - die Substantive


|das Waschbecken|des Waschbeckens&emsp;die Waschbecken|раковина

|das Ziel|des Zieles&emsp;die Ziele|цель

|das Kleid|des Kleides&emsp;die Kleider|платье

|der Verlag|des Verlages&emsp;die Verlage|издательство

|das Spiel|des Spieles&emsp;die Spiele|игра

|die Kerze|der Kerze&emsp;die Kerzen|свеча

|die Heizung|der Heizung&emsp;die Heizungen|отопление

|die Geschichte|der Geschichte&emsp;die Geschichten|история

|der Leser|des Lesers&emsp;die Leser|читатель

|der Bildschirm|des Bildschirms&emsp;die Bildschirme|экран
