# 15 - IELTS Words

|insist|ɪnˈsɪst|настойчиво утверждать
|fossil|ˈfɒsl|ископаемое, окаменелость
|contend|kənˈtend|отстаивать свое мнение, утверждать
|enlist|ɪnˈlɪst|привлечь на свою сторону
|trend|trend|курс, направление
|species|ˈspi:ʃi:z|вид, разновидность
|grumble|ˈɡrʌmbl|ворчанье, ропот
|reimburse|ˌri:ɪmˈbɜ:s|возвращать, возмещать
|disparaging|dɪˈspærɪʤɪŋ|унизительный; пренебрежительный
|beforehand|bɪˈfɔ:hænd|заранее, заблаговременно
|flourish|ˈflʌrɪʃ|цвести, расцветать
|endorsement|ɪnˈdɔ:smnt|подтверждение; поддержка
|edifice|ˈedɪfɪs|система взглядов, доктрина
|prone|prəʊn|склонный к чему-либо
|literacy|ˈlɪtrəsɪ|грамотность
|exacerbate|ɪɡˈzæsəbeɪt|обострять, осложнять
|manuscript|ˈmænjʊskrɪpt|рукопись
|readily|ˈredɪlɪ|легко, без труда
|crucial|ˈkru:ʃl|ключевой, решающий
|usurp|jʊˈzɜ:p|незаконно захватывать
|grasp|ɡrɑ:sp|быстрое восприятие
|undermine|ʌndəˈmaɪn|минировать; взрывать, подрывать
|enfranchise|ɪnˈfrænʧaɪz|избирать политчески
|acquiesce|ˌækwɪˈes|уступать, молча соглашаться
|clamour|ˈklæmə|выдвигать требования
