# 14 - IELTS Words

|stream|stri:m|поток, река, ручей
|shrine|ʃraɪn|храм, церковь
|chirp|ʧɜ:p|щебетать
|concrete|ˈkɒŋkri:t|бетон
|garish|ˈɡeərɪʃ|очень яркий, ослепительный
|conceivable|kənˈsi:vəbl|мыслимый, постижимый
|gleam|ɡli:m|светиться; мерцать
|squawk|skwɔ:k|громкий, пронзительный крик
|intricate|ˈɪntrɪkət|запутанный, сложный
|carve|kɑ:v|резать, вырезать
|depict|dɪˈpɪkt|изображать, описывать
|greet|ɡri:t|приветствовать; здороваться
|praise|preɪz|хвалить; восхвалять
|pursue|pəˈsju:|преследовать; следовать
|edification|ˌedɪfɪˈkeɪʃn|наставление, нравоучение
|domain|dəʊˈmeɪn|территория, зона, область
|advancement|ədˈvɑ:nsmnt|продвижение
|horticulture|ˈhɔ:tɪˌkʌlʧə|садоводство
|crackpot|ˈkrækpɒt|ненормальный, чокнутый
|admittedly|ədˈmɪtɪdlɪ|общеизвестно
|bit|bɪt|кусочек; частица
|rocketry|ˈrɒkɪtrɪ|ракетная техника
|outnumber|æʊtˈnʌmbə|превосходить численно
|derive|dɪˈraɪv|получать, извлекать
|eclipse|ɪˈklɪps|затмение
