# A1 - 029 - die Substantive


|das Frühstück|des Frühstückes&emsp;die Frühstücke|завтрак

|das Restaurant|des Restaurants&emsp;die Restaurants|ресторан

|das Puzzle|des Puzzles&emsp;die Puzzles|пазл

|der Urlaub|des Urlaubes&emsp;die Urlaube|отпуск

|das Leder|des Leders&emsp;die Leder|кожа

|der Roman|des Romans&emsp;die Romane|роман

|die Creme|der Creme&emsp;die Cremes|крем

|die Nacht|der Nacht&emsp;die Nächte|ночь

|der Teddy|des Teddys&emsp;die Teddys|мишка

|der Geburtstag|des Geburtstages&emsp;die Geburtstage|день рождения
