# C1 - 106 - die Substantive


|die Verzögerung|der Verzögerung&emsp;die Verzögerungen|задержка

|die Loyalität|der Loyalität&emsp;die Loyalitäten|лояльность

|die Endgültigkeit|der Endgültigkeit&emsp;die Endgültigkeiten|окончательность

|die Ausbreitung|der Ausbreitung&emsp;die Ausbreitungen|распространение

|die Verhinderung|der Verhinderung&emsp;die Verhinderungen|предотвращение

|die Lenkung|der Lenkung&emsp;die Lenkungen|управление

|die Anschaffung|der Anschaffung&emsp;die Anschaffungen|приобретение

|die Dokumentation|der Dokumentation&emsp;die Dokumentationen|документация

|die Beobachtung|der Beobachtung&emsp;die Beobachtungen|наблюдение

|die Zwischenprüfung|der Zwischenprüfung&emsp;die Zwischenprüfungen|промежуточный экзамен
