# 36 - IELTS Words

|primarily|ˈpraɪmrɪlɪ|первоначально
|endeavour|ɪnˈdevə|попытка
|creep|kri:p|ползать
|alleviate|əˈli:vɪeɪt|облегчать
|thwart|θwɔ:t|расстраивать
|beware|bɪˈweə|беречся
|handful|ˈhændfʊl|масса
|proliferate|prəˈlɪfəreɪt|размножаться
|cease|si:s|прекращать
|exhaustive|ɪɡˈzɔ:stɪv|полный
|denote|dɪˈnəʊt|обозначать
|accustomed|əˈkʌstəmd|привычный
|whichever|wɪʧˈevə|какой угодно
|handy|ˈhændɪ|удобный
|moderate|ˈmɒdrət|умеренный
|grinding|ˈɡraɪndɪŋ|мучительный
|delineate|dɪˈlɪnɪeɪt|описывать
|permissible|pəˈmɪsɪbl|допустимы
|buddy|ˈbʌdɪ|приятель
|entail|ɪnˈteɪl|влечь за собой
|alias|ˈeɪlɪəs|псевдоним
|substantial|səbˈstænʃl|надежный
|encapsulate|ɪnˈkæpsjʊleɪt|скрытый
|recap|ˈri:kæp|вывод, резюме
|provision|prəˈvɪʒn|обеспечение
