# 13 - IELTS Words

|conceivably|kənˈsi:vəblɪ|возможно, вероятно
|requisition|ˌrekwɪˈzɪʃn|изымать, конфисковать
|perched|pɜ:ʧt|высоко сидящий
|welfare|ˈwelfeə|благоденствие, благополучие
|ingenuity|ˌɪnʤɪˈnju:ɪtɪ|изобретательность, находчивость
|coop|ku:p|клетка для кур
|pond|pɒnd|искусственный водоем
|mesh|meʃ|сетка
|profound|prəˈfæʊnd|сильный, глубокий; непомерный
|egregious|ɪˈɡri:ʤiəs|вопиющий
|sprawl|sprɔ:l|расползаться
|slope|sləʊp|клониться; иметь наклон
|lane|leɪn|узкая дорога, тропинка
|hillside|ˈhɪlsaɪd|склон горы, холма
|towering|ˈtæʊərɪŋ|высокий, вздымающийся
|quaint|kweɪnt|старомодный и изящный
|attic|ˈætɪk|мансарда; чердак
|deafening|ˈdefnɪŋ|оглушительный
|horde|hɔ:d|большое скопление людей
|peninsula|pɪˈnɪnsjʊlə|полуостров
|frenzy|ˈfrenzɪ|безумие, бешенство
|congested|kənˈʤestɪd|переполненный; перенаселённый
|pedestrian|pɪˈdestrɪən|пешеход
|bewilder|bɪˈwɪldə|смущать, ставить в тупик
|cramp|kræmp|спазм, судорога
