# A2 - 040 - die Substantive


|die Butter|der Butter&emsp;die Buttern|масло

|das Dokument|des Dokuments&emsp;die Dokumente|документ

|die Ehre|der Ehre&emsp;die Ehren|честь

|die Eisenbahn|der Eisenbahn&emsp;die Eisenbahnen|железная дорога

|der Erwachsene|des Erwachsenen&emsp;die Erwachsenen|взрослый

|die Erzählung|der Erzählung&emsp;die Erzählungen|рассказ

|der Erfolg|des Erfolges&emsp;die Erfolge|успех

|die Erfahrung|der Erfahrung&emsp;die Erfahrungen|опыт

|die Erlaubnis|der Erlaubnis&emsp;die Erlaubnisse|разрешение

|die Fahrkarte|der Fahrkarte&emsp;die Fahrkarten|билет
