# A1 - 033 - die Substantive


|der Durst|des Durstes&emsp;die Durste|жажда

|das Benzin|des Benzins&emsp;die Benzine|бензин

|das Lächeln|des Lächelns&emsp;die Lächeln|улыбка

|die Kette|der Kette&emsp;die Ketten|цепь

|die Hilfe|der Hilfe&emsp;die Hilfen|помощь

|der Film|des Filmes&emsp;die Filme|фильм

|die Cousine|der Cousine&emsp;die Cousinen|двоюродная сестра

|das Interesse|des Interesses&emsp;die Interessen|интерес

|der Thriller|des Thrillers&emsp;die Thriller|триллер

|der Kasten|des Kastens&emsp;die Kästen|ящик
