# C2 - 121 - die Substantive


|die Annullierung|der Annullierung&emsp;die Annullierungen|аннулирование

|die Erörterung|der Erörterung&emsp;die Erörterungen|обсуждение

|die Bruchteilberechnung|der Bruchteilberechnung&emsp;die Bruchteilberechnungen|дробное вычисление

|die Disproportion|der Disproportion&emsp;die Disproportionen|непропорциональность

|die Aufklärung|der Aufklärung&emsp;die Aufklärungen|просвещение

|die Zuwendung|der Zuwendung&emsp;die Zuwendungen|внимание

|die Handhabung|der Handhabung&emsp;die Handhabungen|обращение

|die Bereinigung|der Bereinigung&emsp;die Bereinigungen|урегулирование

|die Imaginationskraft|der Imaginationskraft&emsp;die Imaginationskräfte|сила воображения

|die Bewusstmachung|der Bewusstmachung&emsp;die Bewusstmachungen|осознание
