# 20 - IELTS Words

|eagle|ˈi:ɡl|орел
|crow|krəʊ|ворона
|commit|kəˈmɪt|совершать обычно выходящее за рамки действие
|armament|ˈɑ:məmnt|вооруженная сила
|fixture|ˈfɪksʧə|спортивное состязание
|hint|hɪnt|намёк
|gang|ɡæŋ|группа людей
|revenge|rɪˈvenʤ|месть
|tangle|ˈtæŋɡl|спутывать, запутывать
|issue|ˈɪʃu:|издание (чего-л.)
|whilst|waɪlst|пока, в то время как
|sentence|ˈsentns|наказание
|manslaughter|ˈmænslɔ:tə|человекоубийство
|forearm|ˈfɔ:rɑ:m|предплечье
|approach|əˈprəʊʧ|приближение, сближение
|fancy|ˈfænsɪ|представлять себе
|consider|kənˈsɪdə|ассматривать, обсуждать
|involve|ɪnˈvɒlv|приводить (к чему-л.)
|dusk|dʌsk|сумерки
|dawn|dɔ:n|рассвет
|dare|deə|рисковать
|deserve|dɪˈzɜ:v|заслуживать, быть достойным
|threaten|ˈθretn|грозить, угрожать
|bark|bɑ:k|лай
|permit|pəˈmɪt|позволение, разрешение
