# A2 - 047 - die Substantive


|das Lebensmittel|des Lebensmittels&emsp;die Lebensmittel|продукт питания

|die Lebensmittel|der Lebensmittel&emsp;die Lebensmittel|продукты питания

|das Lieblingsfach|des Lieblingsfaches&emsp;die Lieblingsfächer|любимый предмет

|die Lüge|der Lüge&emsp;die Lügen|ложь

|der Mai|des Mais&emsp;die Maie|май

|die Abbildung|der Abbildung&emsp;die Abbildungen|изображение

|die Abfahrt|der Abfahrt&emsp;die Abfahrten|отъезд

|der Abfall|des Abfalls&emsp;die Abfälle|отходы

|das Abgas|des Abgases&emsp;die Abgase|выхлопные газы

|die Abteilung|der Abteilung&emsp;die Abteilungen|отделение
